,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.data-container-id,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
47,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[9]/span[1],0.0,,,,,,,,,,,,,,,sucUyb TcdDld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12,SPAN,0.0,A.B7oRKe,Help,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[9]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9,DIV,0.0,DIV.Z8Diy.sh-hm__drawer,Privacy•Terms•Report a violation,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2],0.0,,,,,,,,,,,,,,,Oy6I5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10,DIV,0.0,DIV.Oy6I5b,Privacy•Terms•Report a violation,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div,0.0,,,,,,,,,,,,,,,QeyJ9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,11,A,0.0,DIV.QeyJ9c,Privacy,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div/a[1],0.0,,,,https://www.google.com/policies/privacy/?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QgtQDCA0,,,,,,,,,,,jDMBrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,11,SPAN,0.0,DIV.QeyJ9c,•,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div/span[1],0.0,,,,,,,,,,,,,,,BLrHMb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,11,A,0.0,DIV.QeyJ9c,Terms,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div/a[2],0.0,,,,https://shopping.google.com/u/0/terms?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Qg9QDCA4,,,,,,,,,,,jDMBrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,11,SPAN,0.0,DIV.QeyJ9c,•,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div/span[2],0.0,,,,,,,,,,,,,,,BLrHMb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,11,A,0.0,DIV.QeyJ9c,Report a violation,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[2]/div/a[3],0.0,,,,https://support.google.com/merchants/contact/policy?p=shop&sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QhdQDCA8,,,,,,,,,,,jDMBrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6,A,27.0,DIV.FyLmIf,ShoppingShopping,190.984375,56.0,/html/body/div[1]/div/div/a,30.5,,,,/shopping?source=dh&sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QOwgQ,,,,,,,,,,,Srajv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,7,DIV,27.0,A.Srajv,Shopping,174.984375,72.0,/html/body/div[1]/div/div/a/div[1],30.5,,,,,,,,,,,,,,,FBgx6 oTSqLe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,8,DIV,27.0,DIV.FBgx6.oTSqLe,Shopping,170.984375,76.0,/html/body/div[1]/div/div/a/div[1]/div,30.5,,,,,,,,,,,,,,,Y6VDGc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
