Index,Fields,Values
2.20.6,Category,Popular
2.21.6,Category,Popular
2.22.6,Category,Popular
2.23.6,Category,Popular
2.24.6,Category,Popular
2.25.6,Category,Popular
2.26.6,Category,Popular
2.27.6,Category,Popular
2.28.6,Category,Popular
2.29.6,Category,Popular
2.30.6,Category,Popular
2.31.6,Category,Advertisement
2.32.6,Category,Advertisement
2.33.6,Category,Organic
2.34.6,Category,Organic
2.35.6,Category,Organic
2.36.6,Category,Organic
2.37.6,Category,Organic
2.38.6,Category,Organic
2.39.6,Category,Organic
3.1.1,Title,Estée Lauder Double Wear Stay-in-Place Makeup
3.2.1,Title,Maybelline Fit Me Matte + Poreless Foundation
3.3.1,Title,Fenty Beauty by Rihanna Pro Filt'r Soft Matte Longwear Foundation 440 - 32 ml
3.4.1,Title,Charlotte Tilbury Airbrush Flawless Foundation
3.5.1,Title,Too Faced Born This Way Brulee Foundation
3.6.1,Title,NARS Natural Radiant Longwear Foundation
3.7.1,Title,Huda Beauty #FauxFilter Luminous Matte Liquid Foundation
3.8.1,Title,M·A·C Studio Fix Fluid
3.9.1,Title,Laura Mercier Flawless Fusion Ultra-Longwear Foundation
3.10.1,Title,L'oreal Infallible 24HR Fresh Wear Foundation
3.11.1,Title,The Ordinary. Coverage Foundation
3.12.1,Title,NARS Soft Matte Complete Foundation
3.13.1,Title,UOMA Beauty Say What?! Foundation - Honey Honey - T2C
3.14.1,Title,Urban Decay All Nighter Liquid Foundation
3.15.1,Title,Lancôme Teint Idole Ultra Wear
3.16.1,Title,Charlotte Tilbury Magic Foundation
3.17.1,Title,Lancôme Teint Idole Ultra 24H
3.18.1,Title,Bobbi Brown Skin Long-wear Weightless Foundation
3.19.1,Title,Estée Lauder Futurist Hydra Rescue Moisturizing Makeup
3.20.1,Title,bareMinerals Original Foundation
3.21.1,Title,tarte face tape foundation
3.22.1,Title,Oxygenetix Oxygenating Foundation
3.23.1,Title,Bobbi Brown Intensive Serum Foundation SPF 40 - Golden
3.24.1,Title,Kevyn Aucoin Balm Foundation Deep 14
3.25.1,Title,"Mac Pro Longwear Nourishing Waterproof Foundation, NC30 - 0.85 oz tube"
3.26.1,Title,Smashbox Studio Skin Full Coverage 24 Hour Foundation
3.27.1,Title,Make Up for Ever HD Invisible Cover Foundation 175 Cafe
3.28.1,Title,Smashbox Studio Skin 15 Hour Wear Hydrating Foundation
3.29.1,Title,bareMinerals barePRO Performance Wear Powder Foundation
3.30.1,Title,e.l.f. Flawless Finish Foundation
3.31.1,Title,Best Full Coverage Foundations of 2022 | Sephora
3.32.1,Title,10 of the Best Full-Coverage Foundations for a Flawless Complexion
3.33.1,Title,We tested 50 full-coverage foundations and found our top 15 favorites
3.34.1,Title,"The Best Full-Coverage Foundations For Comfortable, Everyday Wear"
3.35.1,Title,Conceal Problem Areas With the Best Full-coverage Makeup Products
3.36.1,Title,The Best Full-Coverage Drugstore Foundations a Makeup Artist Loves
3.37.1,Title,The Best Stick Foundations That Makeup Artists Always Keep in Their Kits
3.38.1,Title,The 12 Very Best Foundations for Mature Skin - New York Magazine
3.39.1,Title,12 of the best full coverage foundations for all skin tones - Closer magazine
3.1.2,Price,$46.00
3.2.2,Price,$12.98
3.3.2,Price,$38.00
3.4.2,Price,$44.00
3.5.2,Price,$40.00
3.6.2,Price,$49.00
3.7.2,Price,$40.00
3.8.2,Price,$36.00
3.9.2,Price,$49.00
3.10.2,Price,$15.99
3.11.2,Price,$8.00
3.12.2,Price,$40.00
3.13.2,Price,$31.95
3.14.2,Price,$20.00
3.15.2,Price,$44.00
3.16.2,Price,$41.00
3.17.2,Price,$35.25
3.18.2,Price,$50.00
3.19.2,Price,$48.00
3.20.2,Price,$33.00
3.21.2,Price,$40.00
3.22.2,Price,$52.80
3.23.2,Price,$72.00
3.24.2,Price,$52.00
3.25.2,Price,$38.00
3.26.2,Price,$26.60
3.27.2,Price,$62.71
3.28.2,Price,$39.00
3.29.2,Price,$19.34
3.30.2,Price,$6.00
3.31.2,Price,N/A
3.32.2,Price,N/A
3.33.2,Price,N/A
3.34.2,Price,Approx. $28 to $64
3.35.2,Price,N/A
3.36.2,Price,N/A
3.37.2,Price,N/A
3.38.2,Price,N/A
3.39.2,Price,N/A
3.1.3,Rating,Rated 4.6 out of 5
3.2.3,Rating,Rated 4.4 out of 5
3.3.3,Rating,Rated 4.3 out of 5
3.4.3,Rating,Rated 4.0 out of 5
3.5.3,Rating,Rated 4.3 out of 5
3.6.3,Rating,Rated 4.2 out of 5
3.7.3,Rating,Rated 3.9 out of 5
3.8.3,Rating,Rated 4.5 out of 5
3.9.3,Rating,Rated 4.4 out of 5
3.10.3,Rating,Rated 4.3 out of 5
3.11.3,Rating,Rated 4.1 out of 5
3.12.3,Rating,Rated 4.2 out of 5
3.13.3,Rating,Rated 4.1 out of 5
3.14.3,Rating,Rated 4.1 out of 5
3.15.3,Rating,Rated 4.7 out of 5
3.16.3,Rating,Rated 4.2 out of 5
3.17.3,Rating,Rated 4.5 out of 5
3.18.3,Rating,Rated 4.4 out of 5
3.19.3,Rating,Rated 4.2 out of 5
3.20.3,Rating,Rated 4.6 out of 5
3.21.3,Rating,Rated 4.2 out of 5
3.22.3,Rating,Rated 4.6 out of 5
3.23.3,Rating,Rated 4.3 out of 5
3.24.3,Rating,Rated 4.1 out of 5
3.25.3,Rating,Rated 4.1 out of 5
3.26.3,Rating,Rated 3.7 out of 5
3.27.3,Rating,Rated 4.4 out of 5
3.28.3,Rating,Rated 4.3 out of 5
3.29.3,Rating,Rated 4.3 out of 5
3.30.3,Rating,Rated 4.2 out of 5
3.31.3,Rating,N/A
3.32.3,Rating,N/A
3.33.3,Rating,N/A
3.34.3,Rating,N/A
3.35.3,Rating,Rated 3.5 out of 5
