File Name,Title,Price,Rating,ReviewCount,Links,Category,OpeningClosing,Address,Link
2.json,Air Filters: Furnace & AC Filters at Ace Hardware,N/A,N/A,N/A,https://www.acehardware.com/departments/heating-and-cooling/air-quality/air-filters,Organic,,,
2.json,"In Stock Near Me - Air Filters - Heating, Venting & Cooling - The Home Depot",N/A,N/A,N/A,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Filters/Pick-Up-Today/N-5yc1vZc4kwZ1z175a5,Organic,,,
2.json,Air Filters - The Home Depot,N/A,N/A,N/A,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Filters/N-5yc1vZc4kw,Organic,,,
2.json,A/C Air Filters & Furnace Filters - Lowe's,N/A,N/A,N/A,https://www.lowes.com/c/Air-filters-accessories-Heating-cooling,Organic,,,
2.json,Indiana Filter Supply,N/A,N/A,N/A,https://indianafilter.com/,Organic,,,
2.json,Air Filters - Walmart.com,N/A,N/A,N/A,https://www.walmart.com/browse/home-improvement/air-filters/1072864_133032_1070944,Organic,,,
2.json,Air Filters - Target,N/A,N/A,N/A,https://www.target.com/s/air+filters,Organic,,,
2.json,Air Filtration Systems in Indianapolis - Broad Ripple Service Experts,N/A,N/A,N/A,https://www.broadrippleheating.com/indoor-air-quality/air-filtration-systems,Organic,,,
2.json,Air Filters - Advance Auto Parts,N/A,Rated 4.5 out of 5,N/A,https://shop.advanceautoparts.com/c3/air-filters/15240,Organic,,,
2.json,Air Filters - CVS Pharmacy,N/A,N/A,N/A,https://www.cvs.com/shop/content/air-filters,Organic,,,
2.json,N/A,,N/A,N/A,,SearchMapPlace,N/A,N/A,
2.json,20x22x1 Air Filter near me,,,,,RelatedSearchData,,,/search?gl=US&hl=en&q=20x22x1+Air+Filter+near+me&sa=X&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQ1QJ6BAg-EAE
2.json,Home air filter replacement,,,,,RelatedSearchData,,,/search?gl=US&hl=en&q=Home+air+filter+replacement&sa=X&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQ1QJ6BAg7EAE
2.json,Air filters for home,,,,,RelatedSearchData,,,/search?gl=US&hl=en&q=Air+filters+for+home&sa=X&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQ1QJ6BAg6EAE
2.json,Ace hardware air filters 16x25x1,,,,,RelatedSearchData,,,/search?gl=US&hl=en&q=Ace+hardware+air+filters+16x25x1&sa=X&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQ1QJ6BAg4EAE
