Index,Fields,Values
20.3.3.1,Organic_Title,Shape Tape Contour Concealer | Tarte Cosmetics | Ulta Beauty
20.3.4.1,Organic_Title,Tarte Shape Tape Ultra Creamy Concealer | Ulta Beauty
20.3.5.1,Organic_Title,Tarte Double Duty Shape Tape Facial Concealer Contour Shade Medium Full Size - Amazon.com
20.3.6.1,Organic_Title,WHICH DO YOU NEED? | TARTE SHAPE TAPE VS. TOO FACED BORN THIS WAY SCULPTING CONCEALER | Jasmine Talks Beauty
20.3.7.1,Organic_Title,Tarte Shape Tape Concealer Review: Worth The Hype? | Cruelty-Free Kitty
20.3.8.1,Organic_Title,Tarte Shape Tape Concealer Review
20.3.1.2,Organic_Price,$30.00
20.3.2.2,Organic_Price,N/A
20.3.3.2,Organic_Price,$30.00
20.3.4.2,Organic_Price,$30.00
20.3.5.2,Organic_Price,$27.92
20.3.6.2,Organic_Price,N/A
20.3.7.2,Organic_Price,N/A
20.3.8.2,Organic_Price,N/A
20.3.1.3,Organic_Rating,Rated 5.0 out of 5
20.3.2.3,Organic_Rating,N/A
20.3.3.3,Organic_Rating,Rated 4.5 out of 5
20.3.4.3,Organic_Rating,Rated 4.0 out of 5
20.3.5.3,Organic_Rating,Rated 4.6 out of 5
20.3.6.3,Organic_Rating,N/A
20.3.7.3,Organic_Rating,N/A
20.3.8.3,Organic_Rating,N/A
20.3.1.4,Organic_ReviewCount,"23,047"
20.3.2.4,Organic_ReviewCount,N/A
20.3.3.4,Organic_ReviewCount,"13,304"
20.3.4.4,Organic_ReviewCount,512
20.3.5.4,Organic_ReviewCount,577
20.3.6.4,Organic_ReviewCount,N/A
20.3.7.4,Organic_ReviewCount,N/A
20.3.8.4,Organic_ReviewCount,N/A
20.3.1.5,Organic_Links,https://tartecosmetics.com/shop/shape-tape-concealer-836.html
20.3.2.5,Organic_Links,https://tartecosmetics.com/shop/makeup/face/concealer/
20.3.3.5,Organic_Links,https://www.ulta.com/p/shape-tape-concealer-xlsImpprod14251035
20.3.4.5,Organic_Links,https://www.ulta.com/p/shape-tape-ultra-creamy-concealer-pimprod2020889
20.3.5.5,Organic_Links,https://www.amazon.com/Double-Beauty-Contour-Concealer-medium/dp/B01LT3YJA8
20.3.6.5,Organic_Links,http://www.jasminetalksbeauty.com/2018/12/tarte-shape-tape-too-faced-born-this-way-concealer-comparison.html?m=1
20.3.7.5,Organic_Links,https://www.crueltyfreekitty.com/makeup/tarte-shape-tape-concealer-review/
20.3.8.5,Organic_Links,https://crueltyfreebeautyreviews.com/tarte-shape-tape-concealer-review/
20.4.1.1,SearchMapPlace_Title,N/A
20.4.1.2,SearchMapPlace_OpeningClosing,N/A
20.4.1.3,SearchMapPlace_Rating,N/A
20.4.1.4,SearchMapPlace_ReviewCount,N/A
20.4.1.5,SearchMapPlace_Address,N/A
20.5.1.1,RelatedSearchData_Title,Tarte concealer shade Finder
20.5.2.1,RelatedSearchData_Title,Tarte concealer Shape Tape
20.5.3.1,RelatedSearchData_Title,Tarte concealer price
20.5.4.1,RelatedSearchData_Title,Tarte Creaseless concealer
20.5.5.1,RelatedSearchData_Title,Tarte concealer shades 29N
20.5.6.1,RelatedSearchData_Title,Tarte Concealer light-medium
20.5.7.1,RelatedSearchData_Title,Tarte concealer Sephora
20.5.8.1,RelatedSearchData_Title,Tarte concealer review
20.5.1.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+shade+Finder&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhNEAE
20.5.2.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+Shape+Tape&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhLEAE
20.5.3.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+price&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhKEAE
20.5.4.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+Creaseless+concealer&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhIEAE
20.5.5.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+shades+29N&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhGEAE
20.5.6.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+Concealer+light-medium&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhBEAE
20.5.7.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+Sephora&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAhAEAE
20.5.8.2,RelatedSearchData_Link,/search?hl=en&q=Tarte+concealer+review&sa=X&ved=2ahUKEwiYsZjx5v73AhVzlI4IHTmMBtgQ1QJ6BAg_EAE
21.1.1.1,Popular_Title,Tarte Tarteist Double Take Eyeliner - Black
21.1.2.1,Popular_Title,Tarte Sex Kitten Liquid Liner
21.1.3.1,Popular_Title,Tarte Sex Kitten Eyeliner - Black
21.1.4.1,Popular_Title,Tarte Maneater Liquid Eyeliner - Black
21.1.5.1,Popular_Title,tarte SEA Surfer Curl Waterproof Gel Eyeliner
21.1.6.1,Popular_Title,Tarte Tarteist Clay Paint Liner
